City ID,City Name,Country Code,Date (UTC),Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
211,Marrakesh,MA,2020-05-12 02:36:45,31.63,-8.01,57.2,87,75,13.87
212,Palora,EC,2020-05-12 02:36:45,-1.7,-77.93,66.43,94,12,2.93
213,Mayor Pablo Lagerenza,PY,2020-05-12 02:36:45,-19.93,-60.77,76.71,67,99,6.13
214,Faya,SA,2020-05-12 02:36:45,18.39,42.45,65.3,72,0,5.82
215,Drochia,MD,2020-05-12 02:36:45,48.03,27.82,63.03,76,99,4.18
216,Egvekinot,RU,2020-05-12 02:36:46,66.32,-179.17,33.55,100,99,3.38
217,Ivanava,BY,2020-05-12 02:36:46,52.15,25.54,51.84,96,18,6.53
218,Vallenar,CL,2020-05-12 02:27:53,-28.57,-70.76,54.72,82,0,3.33
219,Xining,CN,2020-05-12 02:27:48,36.62,101.77,52.95,38,79,3.42
220,Innisfail,AU,2020-05-12 02:27:58,-17.53,146.03,74.7,82,74,10.96
221,Danilovka,RU,2020-05-12 02:36:46,50.36,44.12,51.15,80,12,2.48
222,Narok,KE,2020-05-12 02:36:46,-1.08,35.86,56.98,94,77,5.44
223,Kamenka,RU,2020-05-12 02:36:46,51.32,42.77,45.0,92,0,5.57
224,Pacifica,US,2020-05-12 02:25:10,37.61,-122.49,57.61,77,75,24.16
225,Tilichiki,RU,2020-05-12 02:30:00,60.47,166.1,32.83,100,100,4.81
226,Franklin,US,2020-05-12 02:32:25,39.97,-83.02,43.02,70,90,6.93
227,Keelung,TW,2020-05-12 02:36:56,25.13,121.74,74.62,94,75,13.87
228,Akdepe,TM,2020-05-12 02:36:56,42.06,59.38,58.12,72,75,16.11
229,Sinnamary,GF,2020-05-12 02:27:20,5.38,-52.95,78.4,83,100,13.35
230,Leningradskiy,RU,2020-05-12 02:36:56,69.38,178.42,35.29,95,2,5.23
231,Sao Desiderio,BR,2020-05-12 02:36:56,-12.36,-44.97,66.81,92,6,4.07
232,Shatrovo,RU,2020-05-12 02:36:57,56.52,64.63,68.72,67,81,6.4
233,Leshukonskoye,RU,2020-05-12 02:33:03,64.9,45.76,49.62,85,67,14.03
234,Anadyr,RU,2020-05-12 02:29:53,64.75,177.48,37.18,86,75,4.47
235,Iwanai,JP,2020-05-12 02:36:57,42.97,140.51,66.85,42,100,5.75
236,Kieta,PG,2020-05-12 02:36:57,-6.22,155.63,84.94,76,95,8.19
237,Anderson,US,2020-05-12 02:36:57,34.53,-82.65,52.5,43,1,6.93
238,Tuktoyaktuk,CA,2020-05-12 02:27:12,69.45,-133.04,30.2,86,90,17.22
239,Isangel,VU,2020-05-12 02:29:21,-19.55,169.27,80.6,65,20,5.82
240,Lebu,CL,2020-05-12 02:36:57,-37.62,-73.65,51.64,85,61,11.21
241,Rawson,AR,2020-05-12 02:27:55,-43.3,-65.1,53.4,44,0,14.74
242,Esperance,AU,2020-05-12 02:27:35,-33.87,121.9,60.8,72,90,3.36
243,Olsztyn,PL,2020-05-12 02:36:57,53.78,20.49,32.4,97,100,8.72
244,Sakakah,SA,2020-05-12 02:22:35,29.97,40.21,68.0,15,0,9.17
245,Ligayan,PH,2020-05-12 02:36:57,4.65,119.47,85.59,72,99,8.28
246,Saint-Joseph,RE,2020-05-12 02:28:04,-21.37,55.62,66.2,63,75,5.82
247,Bukene,TZ,2020-05-12 02:36:57,-4.23,32.88,61.65,90,6,5.28
248,Fare,PF,2020-05-12 02:36:57,-16.7,-151.02,81.77,75,1,12.3
249,Gemena,CD,2020-05-12 02:36:58,3.25,19.77,70.81,98,99,1.45
250,Itoman,JP,2020-05-12 02:28:29,26.12,127.67,75.72,100,75,11.41
251,Grand-Santi,GF,2020-05-12 02:29:05,4.25,-54.38,74.32,97,100,4.0
252,Paracuru,BR,2020-05-12 02:36:58,-3.41,-39.03,78.01,79,0,3.0
253,Missoula,US,2020-05-12 02:36:58,47.02,-113.8,49.87,43,40,14.99
254,Butajira,ET,2020-05-12 02:36:58,8.12,38.37,58.6,56,11,5.41
255,Mapiripan,CO,2020-05-12 02:36:58,2.89,-72.13,75.36,92,51,2.77
256,Setermoen,NO,2020-05-12 02:36:58,68.86,18.35,32.0,95,100,14.99
257,Tuatapere,NZ,2020-05-12 02:27:19,-46.13,167.68,54.82,62,2,1.68
258,Ouadda,CF,2020-05-12 02:36:58,8.08,22.4,70.88,87,97,4.72
259,Mount Gambier,AU,2020-05-12 02:29:56,-37.83,140.77,60.8,63,95,18.34
260,Elk City,US,2020-05-12 02:36:58,35.41,-99.4,54.3,66,90,17.22
261,Lagoa,PT,2020-05-12 02:27:23,39.05,-27.98,60.57,88,100,27.02
262,Neuquen,AR,2020-05-12 02:36:58,-38.95,-68.06,41.0,80,59,2.24
263,Lavrentiya,RU,2020-05-12 02:28:05,65.58,-171.0,36.95,94,100,1.68
264,Chapais,CA,2020-05-12 02:32:40,49.78,-74.85,21.2,53,20,4.7
265,Mahebourg,MU,2020-05-12 02:35:16,-20.41,57.7,73.4,56,40,6.93
